year	mon	day	time	lat	lon	dep	mag
2015	11	11	14:49:20	47.78	-70.118	12.4	2.3
2007	7	3	3:28:33	47.58	-70.243	7.1	2.3
2002	4	28	2:02:05	47.435	-70.428	4.6	2.3
2016	12	8	22:39:46	47.553	-70.25	13.7	2.3
2006	11	26	19:19:30	47.592	-69.936	11.7	2.3
2011	11	25	22:28:58	47.439	-70.411	6	2.3
2014	10	7	0:52:51	47.585	-70.211	6.9	2.2
2016	10	17	22:49:32	47.379	-70.114	17.3	2.2
2014	10	26	17:03:54	47.826	-69.8	22.5	2.2
2003	7	25	4:51:02	47.744	-70.069	11.6	2.2
2016	12	5	17:29:31	47.342	-70.166	20.1	2.2
2014	11	23	15:28:53	47.392	-70.463	13.4	2.2
2001	3	6	2:09:03	47.49	-70.079	7.9	2.2
2014	3	12	10:36:17	47.49	-70.373	6.7	2.2
2014	5	20	21:01:04	47.755	-69.859	21.2	2.2
2004	4	30	15:58:43	47.223	-70.656	25.4	2.2
2000	12	24	0:19:49	47.312	-70.436	20	2.2
2012	4	11	8:07:37	47.506	-70.052	9.7	2.2
2006	10	4	8:52:23	47.406	-70.342	18.6	2.2
2016	10	10	22:10:19	47.62	-69.926	9.4	2.2
2011	5	14	18:28:44	47.579	-70.367	16.6	2.2
2006	11	23	19:02:59	47.449	-70.371	5	2.2
2016	9	23	15:01:58	47.625	-70.119	13.9	2.2
2001	5	3	20:07:44	47.432	-70.157	11.3	2.2
2011	3	11	22:13:31	47.568	-69.988	5.1	2.2
2001	2	19	3:39:57	47.819	-70.161	25.6	2.2
2017	10	6	2:21:28	47.607	-70.23	11	2.2
2010	11	11	13:07:21	47.463	-70.139	9.8	2.2
2002	5	5	1:53:01	47.921	-69.78	23	2.2
2016	10	31	0:30:14	47.587	-70.004	8.8	2.2
2014	2	28	4:20:32	47.386	-70.257	13.8	2.2
2003	8	21	7:59:41	47.666	-69.898	9.5	2.2
2011	2	13	13:05:21	47.492	-70.204	17.5	2.2
2014	5	26	0:29:41	47.681	-70.196	5.9	2.2
2003	11	27	9:01:19	47.694	-70.095	5.4	2.2
2001	7	10	12:30:19	47.43	-70.06	18	2.2
2002	10	23	8:05:30	47.566	-70.045	10.5	2.2
2005	1	3	10:03:57	47.296	-70.414	6.1	2.2
2013	5	5	14:31:35	47.539	-69.935	13.6	2.2
2005	1	24	10:00:33	47.583	-69.955	10.8	2.2
2008	5	7	4:08:21	47.69	-70.248	0	2.2
2016	7	4	9:04:32	47.412	-70.06	16.1	2.2
2004	11	17	21:59:36	47.658	-70.154	4.9	2.2
2015	6	16	14:35:26	47.469	-70.109	7.3	2.2
2013	11	6	22:12:01	47.427	-70.409	5.7	2.2
2013	5	29	12:50:23	47.782	-70.049	3.8	2.2
2005	11	2	19:24:13	47.551	-70.234	12.1	2.2
2007	3	10	23:25:00	47.801	-69.794	21.3	2.2
2013	7	22	0:26:46	47.527	-70.394	13.4	2.2
2008	1	24	14:16:47	47.416	-70.113	9.8	2.2
2008	3	12	1:59:37	47.556	-69.976	15.9	2.2
2001	11	9	10:23:48	47.514	-69.964	7.2	2.2
2008	1	15	3:17:11	47.705	-70.118	8.8	2.2
2017	3	18	10:07:21	47.738	-69.988	14.9	2.2
2015	6	19	21:41:09	47.785	-69.968	24.8	2.2
2016	7	31	22:06:11	47.487	-70.138	20.9	2.2
2010	4	24	11:35:33	47.533	-70.056	15.8	2.2
2004	9	15	1:53:02	47.502	-70.055	12	2.2
2010	4	8	1:19:17	47.584	-70.004	7.7	2.2
2004	5	20	3:24:38	47.482	-70.065	6.8	2.2
2003	7	15	13:43:39	47.47	-70.047	6.2	2.2
2010	5	18	22:41:27	47.585	-69.89	16.2	2.2
2017	9	1	21:23:45	47.435	-70.141	16.8	2.2
2004	6	12	12:05:26	47.53	-70.028	14.2	2.2
2002	11	25	3:18:08	47.706	-70.076	12.1	2.2
2004	7	5	14:54:48	47.515	-69.949	9.6	2.2
2009	8	18	15:20:09	47.311	-70.493	6.8	2.2
2013	2	28	13:04:48	47.355	-70.184	11.6	2.2
2004	5	24	22:21:09	47.837	-69.8	21.7	2.2
2002	2	25	6:09:14	47.515	-70.188	17.4	2.2
2009	11	20	2:59:29	47.85	-69.786	26.4	2.2
2006	11	2	3:57:50	47.547	-70.167	17.3	2.1
2002	7	17	0:03:06	47.751	-70.101	10.8	2.1
2006	10	29	18:01:17	47.319	-70.546	11.6	2.1
2006	6	20	6:04:20	47.816	-69.934	22.4	2.1
2001	2	15	7:47:20	47.591	-69.98	9.9	2.1
2001	1	31	13:52:30	47.526	-70.132	14.9	2.1
2012	6	27	5:14:47	47.699	-70.084	11.1	2.1
2002	12	24	9:40:42	47.597	-69.965	9.5	2.1
2006	11	9	22:35:59	47.813	-69.788	22.4	2.1
2002	10	16	14:07:33	47.435	-70.378	6.5	2.1
2012	6	30	17:29:20	47.732	-70.121	9.2	2.1
2013	1	31	19:34:02	47.772	-70.11	9.9	2.1
2010	11	5	7:02:17	47.425	-70.294	15.1	2.1
2001	10	20	1:29:01	47.433	-70.302	15.4	2.1
2004	10	6	18:59:47	47.324	-70.146	7.5	2.1
2002	2	13	22:48:34	47.456	-70.048	12.3	2.1
2004	10	13	17:49:19	47.588	-70.135	25.2	2.1
2001	9	20	22:33:11	47.409	-70.077	21.6	2.1
2010	3	1	0:01:46	47.597	-70.178	10.6	2.1
2010	2	21	3:01:48	47.497	-69.936	13.7	2.1
2009	9	22	22:07:38	47.712	-69.933	25.7	2.1
2002	2	15	11:00:10	47.505	-70.035	11.9	2.1
2004	12	19	0:28:15	47.418	-70.454	11.2	2.1
2007	7	19	23:44:43	47.492	-70.172	8.2	2.1
2007	6	18	20:02:39	47.553	-69.856	17.2	2.1
2005	11	9	8:52:54	47.383	-70.142	14.8	2.1
2006	1	15	9:01:22	47.387	-70.285	15.1	2.1
2007	8	19	6:11:22	47.289	-70.333	10.6	2.1
2005	5	17	7:17:50	47.749	-69.725	14.4	2.1
2008	5	29	1:22:53	47.627	-70.197	13.4	2.1
2002	5	20	18:55:06	47.612	-70.299	17.9	2.1
2006	2	6	11:40:48	47.497	-69.99	6.7	2.1
2005	3	6	8:55:42	47.749	-69.73	13.9	2.1
2007	10	31	12:02:43	47.322	-70.407	6.1	2.1
2001	12	24	2:36:22	47.485	-70.159	15.1	2.1
2002	3	9	0:55:22	47.673	-70.154	10.9	2.1
2010	3	31	2:40:22	47.503	-70.13	11.2	2.1
2003	9	5	3:50:41	47.389	-70.249	9.5	2.1
2003	9	14	22:48:20	47.732	-69.758	20.8	2.1
2011	8	15	0:07:02	47.582	-69.998	9.8	2.1
2011	7	5	17:37:28	47.421	-70.101	7.9	2.1
2006	12	6	0:34:42	47.792	-69.977	19.2	2.1
2011	11	12	21:16:48	47.632	-69.934	8.6	2.1
2011	11	16	20:50:34	47.393	-70.127	16.1	2.1
2003	8	5	18:41:37	47.499	-70.009	16.1	2.1
2002	4	19	21:54:49	47.435	-70.17	9.8	2.1
2001	5	22	0:31:55	47.656	-69.92	8.9	2.1
2001	4	28	7:10:43	47.414	-70.297	13.4	2.1
2011	6	16	19:56:19	47.288	-70.366	8.7	2.1
2003	12	8	4:26:59	47.401	-70.391	5.7	2.1
2004	5	7	14:37:33	47.44	-70.034	10.1	2.1
2001	7	27	23:12:41	47.687	-69.855	14.4	2.1
2002	4	3	18:09:13	47.444	-70.412	7.7	2.1
2010	8	31	2:10:16	47.446	-70.34	14.2	2.1
2004	2	2	7:41:39	47.553	-70.252	13.9	2.1
2010	12	6	6:05:51	47.752	-70.145	18.4	2.1
2001	6	6	5:51:57	47.542	-70.105	10.5	2.1
2006	5	19	0:58:55	47.845	-69.903	23.6	2.1
2010	9	4	12:52:17	47.346	-70.457	11.9	2.1
2010	9	9	4:51:28	47.325	-70.458	12.3	2.1
2017	8	28	11:54:08	47.487	-70.092	13.9	2.1
2015	12	20	21:25:04	47.418	-70.133	12	2.1
2013	11	14	19:33:23	47.925	-70.477	7.5	2.1
2017	2	12	5:56:41	47.221	-70.653	24.4	2.1
2014	8	31	10:33:03	47.381	-70.516	4.3	2.1
2014	1	22	4:02:22	47.47	-70.097	8.9	2.1
2016	9	25	11:20:11	47.587	-70.184	14.1	2.1
2014	12	1	21:03:13	47.779	-69.824	21.3	2.1
2014	12	16	7:28:45	47.297	-70.607	11	2.1
2016	7	13	20:00:35	47.534	-70.14	12.3	2.1
2016	2	15	16:13:43	47.463	-69.983	12.2	2.1
2016	2	16	7:58:43	47.565	-69.967	15.1	2.1
2017	3	9	6:49:52	47.412	-70.084	6.8	2.1
2017	7	24	9:35:59	47.627	-70.217	11.7	2.1
2016	10	30	23:02:10	47.586	-70	8.3	2.1
2016	5	4	14:39:28	47.496	-69.987	11.3	2.1
2016	10	15	17:17:19	47.442	-70.341	13.3	2.1
2017	10	25	13:04:04	47.276	-70.371	9.1	2.1
2015	4	9	21:18:29	47.462	-70.025	11.1	2
2012	8	4	6:29:21	47.441	-70.344	8.7	2
2017	4	5	7:05:33	47.399	-70.4	7.6	2
2011	11	21	5:13:15	47.789	-69.926	15.6	2
2009	9	9	18:05:50	47.781	-69.822	21.7	2
2002	1	19	13:32:47	47.44	-70.043	14.7	2
2007	1	9	17:06:57	47.391	-70.234	12.8	2
2007	1	15	8:36:21	47.546	-70.151	22.9	2
2012	8	10	9:27:30	47.311	-70.396	8.8	2
2014	3	19	7:17:54	47.611	-69.917	11.9	2
2004	11	27	12:45:31	47.623	-70.005	27.1	2
2004	2	13	2:22:17	47.443	-70.387	6.9	2
2002	8	22	4:19:13	47.547	-70.223	17.2	2
2014	2	20	17:28:06	47.558	-69.975	10.9	2
2015	7	21	2:44:57	47.455	-70.116	23.4	2
2004	12	10	21:36:40	47.619	-69.985	8	2
2003	6	20	11:21:03	47.693	-70.082	12.6	2
2004	8	19	21:51:36	47.43	-70.379	12.6	2
2004	11	19	20:44:05	47.577	-69.914	13.1	2
2012	9	15	23:10:39	47.505	-70.041	11.2	2
2002	5	5	8:49:55	47.443	-70.406	14.1	2
2012	9	26	8:17:06	47.529	-70.135	20.4	2
2007	10	25	1:08:12	47.537	-70.374	3.7	2
2012	1	31	7:21:09	47.52	-69.952	9	2
2014	3	27	14:33:05	47.678	-69.89	14.6	2
2003	12	18	7:16:07	47.33	-70.526	12.6	2
2015	8	26	21:43:26	47.829	-69.801	18	2
2007	4	10	8:16:16	47.545	-70.364	7.8	2
2008	10	20	15:13:00	47.633	-70.401	10	2
2014	4	22	5:26:33	47.403	-70.282	15.2	2
2007	3	12	3:10:28	47.802	-69.79	22	2
2009	8	23	7:43:04	47.529	-70.371	4.1	2
2009	8	17	6:30:22	47.692	-70.049	10.9	2
2003	6	17	10:56:07	47.704	-70.073	11.8	2
2012	10	13	21:22:45	47.825	-69.953	21.5	2
2007	7	2	3:53:05	47.89	-69.811	13.9	2
2004	6	30	12:07:23	47.547	-70.166	18	2
2002	6	3	18:20:25	47.734	-69.992	15.9	2
2001	6	22	3:29:02	47.39	-70.125	16	2
2014	4	7	2:33:01	47.466	-70.079	11.7	2
2015	4	27	19:35:37	47.458	-70.163	24.1	2
2005	12	22	20:21:39	47.592	-69.905	14.2	2
2010	8	9	18:38:11	47.617	-70.157	11.5	2
2016	4	16	0:44:56	47.539	-70.247	14.4	2
2005	3	6	15:12:23	47.755	-69.731	15.1	2
2005	2	18	23:04:36	47.601	-70.246	17.5	2
2013	8	11	15:20:28	47.667	-69.866	14.1	2
2013	8	23	11:55:07	47.592	-69.878	16.5	2
2015	1	22	23:04:42	47.704	-69.904	9.8	2
2010	5	7	21:23:11	47.429	-70.329	19.4	2
2005	6	5	9:22:11	47.633	-69.979	27.1	2
2014	6	27	18:05:43	47.545	-69.973	15.5	2
2010	11	5	10:41:57	47.66	-69.808	21	2
2011	5	3	8:13:03	47.656	-70.102	12	2
2010	10	13	2:58:03	47.669	-70.243	9.5	2
2014	11	1	2:29:20	47.678	-70.024	23.3	2
2002	11	27	9:00:56	47.521	-70.07	12.9	2
2010	12	4	4:37:42	47.659	-69.826	18.3	2
2005	9	21	18:05:08	47.801	-69.834	22.5	2
2013	10	31	16:42:02	47.786	-70.049	3.9	2
2002	12	14	1:32:38	47.306	-70.446	6.2	2
2002	11	25	12:29:23	47.331	-70.166	12.7	2
2005	11	1	23:56:04	47.545	-70.161	18.7	2
2013	7	23	13:36:41	47.419	-70.047	9.4	2
2013	5	10	1:19:14	47.828	-70.023	23.6	2
2013	5	18	12:28:54	47.453	-70.044	8.8	2
2013	10	12	0:16:04	47.645	-70.119	12.8	2
2016	5	26	13:26:38	47.642	-69.906	13.3	2
2005	11	9	5:02:11	47.487	-70.128	8.6	2
2004	4	24	21:30:36	47.402	-70.311	16.4	2
2015	2	3	6:21:11	47.563	-70.277	10.2	2
2015	2	7	18:59:07	47.718	-70.122	8.4	2
2011	1	10	18:31:03	47.569	-69.897	15.3	2
2005	5	5	2:21:21	47.754	-69.735	14.3	2
2003	11	8	10:50:05	47.652	-69.938	16.3	2
2002	10	6	1:22:54	47.599	-70.18	8.7	2
2014	8	2	21:49:03	47.6	-70.275	2.2	2
2005	3	28	23:50:17	47.578	-70.126	18.7	2
2003	9	23	6:37:51	47.764	-69.653	23.4	2
2001	12	2	8:38:29	47.586	-70.053	24.9	2
2006	8	12	0:33:21	47.44	-70.12	13.2	2
2006	4	7	2:35:15	47.524	-70.212	14.4	2
2010	3	6	19:03:24	47.48	-70.141	14.5	2
2017	8	28	11:55:23	47.576	-70.414	21.7	2
2017	2	24	0:40:30	47.31	-70.56	17.3	2
2016	6	6	21:23:40	47.803	-69.954	23.9	2
2001	8	3	4:31:53	47.613	-70.215	13.8	1.9
2008	7	20	11:10:12	47.433	-70.328	11.6	1.9
2010	12	11	18:34:27	47.541	-70.032	12.9	1.9
2001	9	11	14:32:12	47.422	-70.44	6	1.9
2012	4	8	21:02:34	47.729	-70.147	0.8	1.9
2009	2	17	17:10:39	47.727	-69.917	18.8	1.9
2012	4	13	23:00:20	47.71	-69.945	24.3	1.9
2015	5	20	19:32:00	47.883	-69.828	19.6	1.9
2008	9	3	0:50:27	47.415	-70.341	10	1.9
2004	8	10	0:10:40	47.794	-69.794	22	1.9
2011	5	3	2:30:37	47.402	-70.424	6.9	1.9
2004	1	27	2:33:04	47.555	-70.246	13.6	1.9
2011	3	20	22:54:34	47.442	-70.426	4.8	1.9
2008	8	3	13:05:12	47.393	-70.362	22.8	1.9
2008	7	23	6:16:42	47.483	-70.076	13.5	1.9
2004	8	11	13:44:00	47.417	-70.173	12.4	1.9
2004	8	10	13:01:12	47.471	-70.044	11.9	1.9
2012	5	6	23:08:02	47.456	-70.284	20.1	1.9
2009	4	3	2:22:43	47.541	-70.805	2.7	1.9
2015	3	24	23:41:24	47.405	-70.408	6.4	1.9
2011	8	28	8:54:10	47.507	-70.033	11.4	1.9
2014	4	28	2:55:07	47.472	-70.488	5.6	1.9
2015	1	6	16:57:58	47.514	-70.179	11.2	1.9
2010	4	21	13:39:01	47.534	-70.028	8.2	1.9
2004	5	23	8:22:08	47.322	-70.535	11.5	1.9
2012	6	23	20:44:29	47.398	-70.383	6.8	1.9
2015	3	13	0:20:56	47.498	-70.353	8.8	1.9
2010	1	4	0:14:32	47.65	-70.148	6.2	1.9
2016	8	4	16:02:50	47.696	-70.08	13.4	1.9
2009	12	27	8:56:04	47.276	-70.331	10.4	1.9
2014	5	5	11:13:45	47.477	-70.501	4.6	1.9
2001	12	24	19:32:57	47.476	-70.051	17.1	1.9
2011	9	12	10:35:56	47.421	-70.414	7	1.9
2001	12	19	7:52:52	47.646	-70.005	27.8	1.9
2011	11	21	14:06:27	47.458	-70.08	13.3	1.9
2001	9	15	5:36:47	47.5	-69.966	8.8	1.9
2017	6	14	8:45:19	47.469	-70.049	16.7	1.9
2010	10	1	16:04:45	47.495	-70.268	16.7	1.9
2001	7	24	6:49:38	47.489	-70.2	17.3	1.9
2014	9	23	13:23:58	47.401	-70.216	14.4	1.9
2009	4	27	2:47:02	47.402	-70.265	12.5	1.9
2012	1	7	23:41:36	47.452	-70.106	10.1	1.9
2014	11	19	2:20:51	47.618	-69.944	14	1.9
2011	11	29	16:46:08	47.791	-69.84	22.9	1.9
2003	6	18	3:05:55	47.44	-70.201	10.6	1.9
2002	2	2	3:40:47	47.35	-70.332	10.6	1.9
2004	4	17	22:34:58	47.466	-70.42	12.7	1.9
2009	7	21	12:46:36	47.685	-69.925	17	1.9
2004	6	2	5:48:30	47.644	-70.181	12.8	1.9
2003	7	24	14:16:15	47.402	-70.13	15.6	1.9
2014	4	10	1:04:44	47.39	-70.128	16.3	1.9
2016	7	30	20:50:11	47.444	-70.169	9.4	1.9
2006	2	26	16:15:14	47.508	-69.976	10.2	1.9
2004	12	25	7:07:17	47.559	-70.231	12.9	1.9
2002	8	20	16:16:13	47.478	-70.152	7.6	1.9
2005	11	8	14:47:54	47.554	-69.953	16.2	1.9
2013	5	17	17:08:50	47.74	-69.788	12.4	1.9
2003	11	24	14:01:03	47.41	-70.064	8.7	1.9
2006	4	14	3:54:21	47.495	-70.107	13.6	1.9
2000	12	4	21:55:29	47.584	-69.962	10.3	1.9
2007	10	22	1:31:05	47.544	-70.232	16.2	1.9
2007	10	7	17:37:29	47.517	-69.958	12.4	1.9
2002	5	22	21:28:01	47.658	-69.969	14.3	1.9
2015	10	8	14:09:18	47.345	-70.109	26.8	1.9
2013	1	8	3:26:44	47.628	-70.062	25.4	1.9
2013	5	27	2:23:19	47.785	-70.053	4	1.9
2000	12	17	6:27:29	47.495	-70.105	7.3	1.9
2016	10	10	13:19:14	47.679	-70.325	9.6	1.9
2006	2	9	6:25:11	47.755	-69.992	21.2	1.9
2006	11	28	13:35:01	47.481	-70.105	10.4	1.9
2003	11	2	19:53:29	47.612	-70.261	6.2	1.9
2012	12	13	13:49:39	47.537	-70.057	18.8	1.9
2007	1	4	20:40:26	47.534	-70.301	9.8	1.9
2017	4	7	3:00:53	47.795	-69.862	22.6	1.9
2007	2	28	4:23:45	47.27	-70.468	7.2	1.9
2012	12	7	18:50:00	47.41	-70.392	6.8	1.9
2012	11	29	1:47:50	47.72	-70.118	7.5	1.9
2005	12	12	8:51:00	47.362	-70.392	7.4	1.9
2001	3	11	23:44:06	47.608	-70.195	10.5	1.9
